feature_id,region,district,township,ex_from,ex_to,kv_type,cable_type,vertex_count,actual_length_km,straight_line_km,detour_extra_km,sinuosity_index,detour_pct,classification,significant_detour
All_states_region_MVLine_tsp_level.1384,Mandalay,Kyaukse,Kyaukse,Than Ywa,Than Ywa Hospital,,,2,0.797842,0.797842,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1385,Mandalay,Kyaukse,Kyaukse,,,,,2,2.782726,2.782726,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1386,Mandalay,Kyaukse,Sintgaing,,Zawgyi,,,2,4.36619,4.36619,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1387,Mandalay,Kyaukse,,Ingon,Taungdaw,,,2,10.437067,10.437067,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1388,Mandalay,Kyaukse,Sintgaing,,,,,6,6.557708,5.539625,1.018082,1.183782,18.3782,minor_detour,False
All_states_region_MVLine_tsp_level.1389,Mandalay,Kyaukse,Sintgaing,,,,,2,3.880275,3.880275,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1390,Mandalay,Kyaukse,Sintgaing,,Myaungzongyi,,,2,1.761376,1.761376,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1391,Mandalay,Kyaukse,Sintgaing,,,,,10,8.720188,5.777928,2.94226,1.509224,50.9224,severe_detour,True
All_states_region_MVLine_tsp_level.1392,Mandalay,Kyaukse,Sintgaing,,,,,2,1.291811,1.291811,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1393,Mandalay,Kyaukse,Sintgaing,,,,,7,13.4809,13.381049,0.09985,1.007462,0.7462,near_straight,False
All_states_region_MVLine_tsp_level.1394,Mandalay,Kyaukse,Sintgaing,,,,,2,0.615662,0.615662,0.0,1.0,0.0,near_straight,False
All_states_region_MVLine_tsp_level.1395,Mandalay,Kyaukse,Sintgaing,,,,,4,4.11069,4.062986,0.047705,1.011741,1.1741,near_straight,False
All_states_region_MVLine_tsp_level.1396,Mandalay,Kyaukse,Sintgaing,,,,,3,2.737707,2.715115,0.022592,1.008321,0.8321,near_straight,False
All_states_region_MVLine_tsp_level.1397,Mandalay,Kyaukse,Sintgaing,,,,,2,1.849786,1.849786,0.0,1.0,0.0,near_straight,False
